ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
720-16-7722|060486715208|Karen|Banks|F|4043 Roger Plaza|Los Angeles|CA|90004|34.0762|-118.3029|2383912|Technical sales engineer|1974-03-21|804760864588|adults_50up_female_urban.json
389-58-2485|4610511090070178|Justin|Cox|M|50254 Martin Track|Aurora|CO|80014|39.6662|-104.835|389246|Event organiser|1964-04-15|750345086685|adults_50up_male_urban.json
034-11-0196|4975997475396594|Sean|Huerta|M|2526 Caldwell Expressway Apt. 416|Sanford|FL|32771|28.8013|-81.285|78268|Higher education careers adviser|1963-10-02|382737445539|adults_50up_male_urban.json
217-57-4780|639051337934|Sean|Clarke|M|997 Ferguson Summit Suite 085|Brooklyn|NY|11212|40.6625|-73.9145|2504700|Lobbyist|2009-11-08|843945631109|young_adults_male_urban.json
815-59-4935|3558496881449904|Jose|Lewis|M|624 Emily Mills Suite 450|Snellville|GA|30078|33.8635|-84.0081|74574|Systems analyst|1970-04-03|634011057809|adults_50up_male_urban.json
215-24-4235|345279111108514|Tonya|Wright|F|985 Lori Club Apt. 596|Grand Rapids|MI|49505|43.012|-85.6309|375580|Commercial/residential surveyor|1986-03-23|732292267979|adults_2550_female_urban.json
839-85-7438|3548002264259721|Adam|York|M|298 Morse Plaza Apt. 921|Hastings|NE|68901|40.5877|-98.3911|26354|Herbalist|1968-05-06|282106719031|adults_50up_male_urban.json
553-36-7322|4042937178472146174|Clifford|Rogers|M|5292 Griffin Villages|Stockton|CA|95215|37.9551|-121.2041|357430|Phytotherapist|1961-07-11|569097971551|adults_50up_male_urban.json
466-76-8877|180075445847415|David|Smith|M|936 Hayley Rapids|Honolulu|HI|96826|21.2941|-157.8284|403114|Presenter, broadcasting|1955-07-20|765285841505|adults_50up_male_urban.json
680-09-9527|4638901248446|Karen|Sanchez|F|1156 Taylor Curve Apt. 070|Houston|TX|77088|29.8817|-95.4539|2906700|Personal assistant|1991-07-27|675749915913|adults_2550_female_urban.json
031-41-3803|2290227433037276|Andrea|Gutierrez|F|4756 Michelle Union|Riverside|IL|60546|41.8379|-87.8213|15668|Civil Service fast streamer|1973-06-08|687753364335|adults_50up_female_urban.json
557-90-0235|30287806615453|Lisa|Dixon|F|3565 Miller Burgs Apt. 882|Jefferson City|MO|65109|38.5773|-92.2443|68677|Lexicographer|1958-12-13|82203568768|adults_50up_female_urban.json
679-67-8853|6590594699842881|Stephanie|Holder|F|0520 Christian Forges Apt. 988|New Albany|IN|47150|38.3089|-85.8221|47472|Psychiatrist|1975-12-03|867974969591|adults_2550_female_urban.json
886-22-3435|3503668642778625|Jessica|Weaver|F|72876 Jennifer Drive Apt. 877|Wilton|IA|52778|41.5858|-91.01|4043|Surveyor, mining|1987-09-15|911505862642|adults_2550_female_urban.json
082-96-0119|6011833455735629|Corey|Santos|M|0045 Matthew Knolls Suite 302|Rochester|MI|48306|42.7262|-83.1566|97195|Psychologist, counselling|1998-11-07|816991369239|adults_2550_male_urban.json
845-17-2789|180070424025554|Donna|Jenkins|F|770 Garcia Mall|Escalon|CA|95320|37.7983|-121.0006|12819|Publishing rights manager|1991-03-20|614056052697|adults_2550_female_urban.json
071-47-9565|6567386569044840|Paul|Reynolds|M|22912 Stephens Isle|Omaha|NE|68106|41.2403|-95.998|518429|Management consultant|2003-09-14|513397451333|young_adults_male_urban.json
449-04-0174|4239459942640767|Alexander|Peters|M|01203 Barbara Burgs Apt. 387|Honolulu|HI|96826|21.2941|-157.8284|403114|Chemist, analytical|1949-05-30|836948015477|adults_50up_male_urban.json
558-29-4060|378905810801534|Daniel|Ramirez|M|6702 Henry Pass|Oklahoma City|OK|73120|35.5835|-97.5638|640470|Psychiatrist|1993-08-02|401068219104|adults_2550_male_urban.json
676-80-6031|30457595995503|Stephanie|Nguyen|F|629 Scott Hills|Rockwood|MI|48173|42.0731|-83.2127|12700|Scientist, audiological|1998-07-05|963638404069|adults_2550_female_urban.json
860-37-1218|213195252520789|Matthew|Mason|M|5119 Christopher Village|Manassas|VA|20110|38.7492|-77.4878|137564|Minerals surveyor|1967-09-12|324233205936|adults_50up_male_urban.json
328-20-0984|4276947308823|Elizabeth|Brown|F|321 Joann Haven Suite 029|El Paso|TX|79902|31.7763|-106.4932|749635|Engineer, control and instrumentation|1970-02-12|850397805150|adults_50up_female_urban.json
297-83-0362|3512180525795998|Amy|Johnson|F|412 Rebecca Islands Suite 601|Bellefonte|PA|16823|40.8978|-77.7732|26617|Surgeon|1981-02-17|656700690239|adults_2550_female_urban.json
801-15-3342|4485713399627686127|Johnny|Roberts|M|12029 Nicole Station|Middlebury|VT|05753|43.9919|-73.1716|10491|Engineer, electronics|1962-03-20|92352537710|adults_50up_male_urban.json
041-12-4752|3580298908881966|Michael|Turner|M|31919 William Cliff Apt. 356|Chicago|IL|60618|41.9464|-87.7042|2680484|Surveyor, planning and development|1965-05-06|900770864029|adults_50up_male_urban.json
097-57-2484|4670417103898|Brandon|Wilson|M|0501 Jennifer Tunnel Apt. 034|Spirit Lake|IA|51360|43.4262|-95.1123|8031|General practice doctor|1972-10-02|406271409266|adults_50up_male_urban.json
505-10-4196|180065077525728|Courtney|Petersen|F|60378 Christopher Walk|Salisbury|MD|21801|38.3824|-75.6336|68541|Automotive engineer|1987-12-17|847463435864|adults_2550_female_urban.json
774-57-0508|4306670059945|Jennifer|Harper|F|9323 Hannah Circle Apt. 715|Chula Vista|CA|91915|32.6315|-116.9408|239879|Scientist, research (medical)|1974-08-31|12106620348|adults_50up_female_urban.json
594-64-1077|4863323430658744889|Kristen|Dean|F|75909 Lopez Pine|Tulsa|OK|74137|36.0284|-95.9306|413574|Journalist, broadcasting|1967-12-04|596628227402|adults_50up_female_urban.json
145-88-6125|180045513919602|Victor|Calhoun|M|67883 Gonzalez Wells|Vero Beach|FL|32962|27.5885|-80.3923|105638|Surveyor, quantity|1966-05-19|699397576390|adults_50up_male_urban.json
247-69-0279|573647584669|Steven|Hill|M|741 Hall Trafficway Apt. 206|Houston|TX|77061|29.6652|-95.279|2906700|Estate agent|1970-11-27|502964933321|adults_50up_male_urban.json
173-74-7247|36014584081144|Dawn|Miller|F|81436 Charles Plain Suite 114|Ridgeland|MS|39157|32.4122|-90.1207|24645|Nature conservation officer|1993-06-27|34005115460|adults_2550_female_urban.json
899-49-1248|2692605554654264|Kathryn|Wright|F|77140 Kelly Union Suite 545|Viroqua|WI|54665|43.5442|-90.8939|8427|Tax adviser|1996-12-03|740255533437|adults_2550_female_urban.json
435-04-0146|4119622723868|Robert|Ruiz|M|217 Peter Pines Apt. 850|Virginia Beach|VA|23462|36.8392|-76.1522|437994|Telecommunications researcher|1995-06-18|920518196144|adults_2550_male_urban.json
462-03-9593|4099165081132|Jennifer|Steele|F|34848 Lopez Summit Suite 700|Bowie|MD|20720|38.9885|-76.791|95216|Petroleum engineer|2001-04-26|889800059326|young_adults_female_urban.json
585-43-9444|344295449669549|Brenda|Miller|F|562 Cooper Parkway Apt. 016|Finksburg|MD|21048|39.4991|-76.9101|10650|Broadcast engineer|1969-06-01|225257415558|adults_50up_female_urban.json
473-75-4663|3592351638326483|Larry|Higgins|M|17078 David Station|Norwalk|CT|06851|41.1323|-73.4058|85422|Writer|1993-11-28|697003913659|adults_2550_male_urban.json
460-52-1228|3504948414235528|Rachel|Eaton|F|372 Marquez Wall|Cleveland|OH|44106|41.5084|-81.6076|769341|Optician, dispensing|1966-09-23|539698868511|adults_50up_female_urban.json
569-16-3410|503865647716|Ronald|Peterson|M|187 Emily Pike|Coachella|CA|92236|33.675|-116.1772|41083|Therapist, music|1946-08-18|78501673763|adults_50up_male_urban.json
003-63-9452|5461146446119838|Amy|Ray|F|2473 Cordova Ferry Apt. 774|Atoka|TN|38004|35.4213|-89.8216|9866|Surveyor, land/geomatics|2002-10-10|922020775320|young_adults_female_urban.json
508-59-0078|675988125323|Felicia|Davis|F|808 Kari Lodge|Signal Mountain|TN|37377|35.1494|-85.3362|15310|Radiation protection practitioner|1986-10-07|66939453037|adults_2550_female_urban.json
682-52-6750|3528653839571646|Jennifer|Bryan|F|00370 Sergio Valleys|Honolulu|HI|96822|21.3117|-157.8298|403114|Financial trader|1960-09-02|573324095394|adults_50up_female_urban.json
541-81-8391|3569320709834849|Kirk|Chambers|M|4876 Christina Key Apt. 744|Winfield|KS|67156|37.2416|-96.98|15269|Librarian, public|1952-10-22|349588723864|adults_50up_male_urban.json
438-61-6475|371982817947799|Gregory|Villarreal|M|45220 Samuel Fall|San Pablo|CA|94806|37.9724|-122.3369|59861|Occupational psychologist|1964-04-06|249008015764|adults_50up_male_urban.json
129-96-6373|4525733090740634|Frances|Reynolds|F|24767 Martinez Junctions Apt. 799|Durant|OK|74701|34.0061|-96.3847|22365|Agricultural consultant|1965-06-27|790539620900|adults_50up_female_urban.json
861-27-6545|3593327633422856|Melissa|Moore|F|2372 Matthew Prairie|Bayonne|NJ|07002|40.6664|-74.1192|63031|Engineer, maintenance (IT)|1985-05-12|39092822848|adults_2550_female_urban.json
235-92-7726|3508942340370430|Cheryl|Eaton|F|188 Amanda Lakes|Broken Arrow|OK|74014|36.0544|-95.7223|117553|Oceanographer|2000-12-10|844539250707|young_adults_female_urban.json
131-47-7977|213147371985179|Tiffany|Duncan|F|064 Richard Knolls Suite 421|Winter Park|FL|32792|28.5974|-81.3036|71471|Mental health nurse|1978-09-09|732246687668|adults_2550_female_urban.json
811-29-7596|3564053273968850|Lisa|Baker|F|839 Jeffrey Motorway|San Antonio|TX|78216|29.5334|-98.4975|1595797|Visual merchandiser|1977-10-07|669629117389|adults_2550_female_urban.json
694-87-8485|4150321985961|Tracey|Yates|F|025 Randy Mews|West Palm Beach|FL|33409|26.7162|-80.0965|459921|Scientist, research (physical sciences)|1960-12-14|701818213113|adults_50up_female_urban.json
038-52-7500|4767149986325|Kristin|Howard|F|038 Lopez Drive|Dallas|TX|75217|32.7244|-96.6755|1263321|Psychotherapist, child|1960-02-10|186320550327|adults_50up_female_urban.json
334-46-9274|6011743963994958|Thomas|Roberts|M|955 Perry Mews|Shelby|NC|28152|35.2689|-81.5337|52833|Mental health nurse|1974-11-23|82456441625|adults_50up_male_urban.json
526-63-3559|501821027361|Michael|Walker|M|6732 Stacey Ford|Harrisburg|PA|17112|40.3352|-76.7914|165527|Higher education careers adviser|1988-12-25|557994094517|adults_2550_male_urban.json
578-28-9805|2360191090488666|Michelle|Acosta|F|26447 Elizabeth Passage Suite 954|Belleville|IL|62226|38.5352|-90.0006|95666|Chemist, analytical|1965-07-11|873728398856|adults_50up_female_urban.json
836-79-0381|3571645810457346|Jennifer|Ali|F|7338 Tate Centers Suite 289|Avon Lake|OH|44012|41.5019|-82.0111|22581|Air traffic controller|1980-06-26|363608413264|adults_2550_female_urban.json
354-12-9063|4847719888372|Donald|Ochoa|M|96859 Wesley Locks Apt. 502|Kennebunk|ME|04043|43.3881|-70.5478|10810|Film/video editor|1966-12-01|558539360507|adults_50up_male_urban.json
661-76-6389|4924343548695212150|James|Carson|M|08803 Parrish Manor Suite 660|Bridgeville|PA|15017|40.3472|-80.1153|16213|Hydrographic surveyor|2000-12-11|882991182981|young_adults_male_urban.json
489-52-4253|30476911612212|Robert|Williams|M|965 Arnold Lodge|Staten Island|NY|10305|40.5973|-74.0768|468730|Retail buyer|1946-06-29|76029122232|adults_50up_male_urban.json
655-06-0695|4589333528660138559|Paul|Miranda|M|95738 Daniel Wells|Charleroi|PA|15022|40.1404|-79.92|10340|Airline pilot|1970-04-12|202158011399|adults_50up_male_urban.json
831-46-7630|2701580619499915|Colton|Morales|M|55191 Martha Ports Suite 871|Schellsburg|PA|15559|40.0487|-78.6482|1968|Retail banker|2001-10-25|873738509225|young_adults_male_rural.json
079-62-0128|213149293285076|Tamara|Miles|F|29332 Kathryn Harbors Suite 220|Los Gatos|CA|95032|37.2417|-121.9554|47252|Surveyor, quantity|1933-11-01|849800532188|adults_50up_female_urban.json
043-86-0855|4177588562746|Kimberly|Price|F|26203 Virginia Ramp|Arlington|TX|76006|32.7785|-97.0834|370281|Metallurgist|1946-08-11|81360392364|adults_50up_female_urban.json
503-87-1529|4186018112399332|Amy|Nguyen|F|206 Jeffrey Turnpike Suite 596|Reno|NV|89502|39.4972|-119.7764|276896|Surveyor, building control|1988-12-12|758740785256|adults_2550_female_urban.json
620-14-0331|3519680450521122|Nicole|Kirby|F|81641 Jon Summit Suite 081|Raleigh|NC|27615|35.8887|-78.6393|489514|Tree surgeon|1930-11-15|998578020137|adults_50up_female_urban.json
040-71-3869|4954495060958062747|Gina|Reynolds|F|985 Tony Divide|Almond|NY|14804|42.316|-77.778|1479|Translator|1986-08-09|304868813221|adults_2550_female_rural.json
147-86-0264|4776253847669195306|Brendan|Hurley|M|2861 Hays Spring Suite 859|Brooklyn|NY|11201|40.694|-73.9903|2504700|Administrator, education|1972-12-29|428149748567|adults_50up_male_urban.json
826-58-6359|5466286603498248|Rhonda|Ross|F|0165 Moore Parks Suite 402|San Diego|CA|92128|33.0067|-117.069|1241364|Biomedical scientist|2004-04-20|403283882533|young_adults_female_urban.json
510-17-3380|5552423525600859|Natasha|Mills|F|617 Daniel Vista Apt. 520|El Monte|CA|91731|34.0791|-118.0371|90977|Media buyer|1983-12-15|807059542151|adults_2550_female_urban.json
339-26-1437|4845605993421|Dana|Martinez|F|91294 Small Fork|Rayville|LA|71269|32.4456|-91.7433|12757|Clinical embryologist|1983-11-16|896758378123|adults_2550_female_urban.json
716-83-1231|4878343779824021166|Tara|Thomas|F|79981 Denise Canyon|Cherry Hill|NJ|08003|39.8805|-74.9706|71054|Tax adviser|1973-01-25|164853155649|adults_50up_female_urban.json
167-53-5633|36355877452637|Pamela|Turner|F|72544 David Islands|Cumberland Center|ME|04021|43.7974|-70.2649|5820|Engineer, electrical|1955-12-19|125958229270|adults_50up_female_urban.json
478-68-9128|4503455388287203|William|Alexander|M|6608 Amber Park Suite 587|Spokane|WA|99205|47.6964|-117.4399|342856|Careers information officer|1961-09-21|733249525279|adults_50up_male_urban.json
641-61-5135|4368593152629|Brandon|Pena|M|1443 Cynthia Crossing Apt. 614|Atoka|TN|38004|35.4213|-89.8216|9866|Historic buildings inspector/conservation officer|1942-04-20|156145563286|adults_50up_male_urban.json
889-77-6258|4744331997115333490|Tasha|Martin|F|701 Karen Summit Apt. 434|Parsons|TN|38363|35.6664|-88.1195|6097|Illustrator|1978-01-25|659705926392|adults_2550_female_urban.json
757-92-8893|3586188817860215|Holly|Garza|F|437 Levine Forges Apt. 749|Yulee|FL|32097|30.6222|-81.5906|15616|Armed forces technical officer|2002-08-27|232832995058|young_adults_female_urban.json
172-24-3754|3548070473148365|Justin|Collins|M|740 Smith Lodge Suite 656|Chambersburg|PA|17202|39.9072|-77.636|55493|Administrator, charities/voluntary organisations|2000-12-30|738750402981|young_adults_male_urban.json
387-92-2282|4128219386827849|Pamela|Anderson|F|393 Melissa Hills Suite 969|Covina|CA|91723|34.086|-117.8843|78868|Dietitian|1973-08-28|836068029544|adults_50up_female_urban.json
412-52-6506|578531234438|Zachary|Meyer|M|811 Jarvis Union Suite 512|Wichita|KS|67203|37.7048|-97.3638|409656|Games developer|1958-12-07|129627763453|adults_50up_male_urban.json
399-96-3851|30170483648114|Michael|Barber|M|8594 Charles Gateway Suite 931|Mechanic Falls|ME|04256|44.1|-70.3682|3064|Engineer, manufacturing|1980-09-27|939580198476|adults_2550_male_urban.json
706-51-5513|3527676877759352|Richard|Coleman|M|1749 Brenda Forges|Los Angeles|CA|90046|34.1074|-118.3652|2383912|Surveyor, building control|1966-06-16|719612002840|adults_50up_male_urban.json
305-23-7084|30233990761505|Amanda|Jones|F|154 Kyle Falls|Lindstrom|MN|55045|45.3873|-92.8421|7577|Engineer, civil (contracting)|2003-11-18|546539374080|young_adults_female_urban.json
777-10-4286|3510861647904996|Tina|Cooper|F|80679 Murray Fort Suite 720|Lake Wales|FL|33853|27.9002|-81.5847|37098|Television/film/video producer|1989-10-09|432398342989|adults_2550_female_urban.json
821-24-3174|30264320586999|Jessica|Moore|F|9715 Herman Mills Apt. 277|Orlando|FL|32811|28.5163|-81.4516|878243|Actor|1974-01-05|125063198438|adults_50up_female_urban.json
316-87-1571|38326096856880|Michael|Dillon|M|08597 Shelly Parkway Suite 794|Lakewood|NJ|08701|40.085|-74.2042|92843|Engineer, petroleum|1970-05-16|768579641600|adults_50up_male_urban.json
876-53-4487|4026327676596458764|Janice|Green|F|1553 Nash Glen Suite 024|Waterford|MI|48328|42.6429|-83.3546|71528|Aeronautical engineer|1947-05-09|402759066971|adults_50up_female_urban.json
508-22-9839|4848965394503751|Douglas|Camacho|M|8053 James Place|Gilroy|CA|95020|37.0139|-121.5773|57349|Meteorologist|1953-02-25|446354101963|adults_50up_male_urban.json
192-93-9948|2246964804073739|Amy|Pratt|F|50632 Roberson Island Apt. 026|Summerfield|NC|27358|36.2245|-79.8901|14075|Media planner|1956-10-19|251326562371|adults_50up_female_urban.json
463-81-9527|6011346746466037|Colleen|Vincent|F|3997 Rodriguez Ranch|San Francisco|CA|94107|37.7621|-122.3971|805301|Data processing manager|2001-03-02|59195642676|young_adults_female_urban.json
777-74-4648|5210276078195162|Edwin|Holmes|M|9738 Wendy Wall Apt. 614|Foxworth|MS|39483|31.2473|-89.9311|6447|Food technologist|1977-01-26|975880834661|adults_2550_male_urban.json
883-84-6082|4893505260270687563|Peter|Brown|M|812 John Stravenue|Chenango Forks|NY|13746|42.2778|-75.8462|2539|Oceanographer|1989-03-12|107041066984|adults_2550_male_urban.json
584-15-2087|4745998413377|Jennifer|Mason|F|8079 Katherine Road|Fredericksburg|VA|22401|38.2995|-77.4772|156008|Ophthalmologist|1993-12-30|708003979494|adults_2550_female_urban.json
031-55-4380|675907838477|Kiara|Adams|F|34857 Ryan Way|Statesboro|GA|30461|32.45|-81.7158|54956|Land/geomatics surveyor|1977-04-07|312072040917|adults_2550_female_urban.json
008-38-4298|3572809031788363|Regina|Scott|F|7859 Vaughan Grove|Los Angeles|CA|90066|34.003|-118.4298|2383912|Architectural technologist|1992-08-06|616546102519|adults_2550_female_urban.json
324-96-9628|4320756052690|Mario|Brown|M|30299 James Forges Apt. 923|San Francisco|CA|94112|37.7195|-122.4411|805301|Materials engineer|1953-10-20|388263113347|adults_50up_male_urban.json
004-32-0481|30154027320125|Sean|Burton|M|18500 Anderson Common Apt. 068|Hammond|LA|70403|30.4911|-90.4697|47940|Computer games developer|1947-10-01|999901662733|adults_50up_male_urban.json
542-16-0534|3505484738577972|Stacey|Matthews|F|5538 Nicholas Corner|Marshall|MI|49068|42.272|-84.9583|14646|Social worker|1946-05-31|533249455902|adults_50up_female_urban.json
695-25-8442|4429518525576886|Mary|Miller|F|030 Barbara Stream Suite 448|Bridgman|MI|49106|41.9362|-86.5543|4636|Professor Emeritus|1957-09-15|113334225253|adults_50up_female_urban.json
347-02-4820|180091508924462|Michelle|Williams|F|76955 Guzman Union Apt. 558|Los Angeles|CA|90044|33.9551|-118.2901|2383912|Sales promotion account executive|1974-03-20|940931999170|adults_50up_female_urban.json
775-92-2198|4775477774592542|Sherry|Wilson|F|724 Timothy Mountains|Saint Paul|MN|55115|45.071|-92.9391|753116|Warden/ranger|1968-07-31|17345386414|adults_50up_female_urban.json
728-37-5423|378496741662393|Glenda|Fisher|F|25593 Valenzuela Extension Suite 674|Golden|CO|80401|39.7305|-105.1915|57589|Advertising art director|1995-07-31|332325689129|adults_2550_female_urban.json
159-20-8042|4653145134170054|Douglas|Diaz|M|5595 Mclean Unions|Glenshaw|PA|15116|40.5375|-79.9644|14427|Embryologist, clinical|2000-02-28|137259506624|adults_2550_male_urban.json
572-85-3518|4766808950499|Brandon|Shaw|M|3171 Bartlett Springs|Brick|NJ|08723|40.0389|-74.1109|73993|Public affairs consultant|1981-10-23|354588872519|adults_2550_male_urban.json
096-81-9488|30336860931601|Joseph|Sosa|M|010 Watson Track Apt. 911|Rocklin|CA|95765|38.8136|-121.2677|57307|Clinical cytogeneticist|1956-07-13|925004632845|adults_50up_male_urban.json
045-21-6651|4093339637902038878|Joseph|Acevedo|M|893 Campbell Mission|Pittsburgh|PA|15202|40.5053|-80.0685|687276|Scientist, product/process development|1996-03-20|825060381508|adults_2550_male_urban.json
792-58-7083|6011420834812426|Natalie|Sullivan|F|4264 Charles Glens Suite 832|Dallas|TX|75215|32.7582|-96.7623|1263321|Research officer, trade union|2002-04-11|904516981424|young_adults_female_urban.json
246-57-9731|4818774499246878|Matthew|Torres|M|9399 Wright Valleys Suite 566|Clementon|NJ|08021|39.8036|-75.0058|44833|Insurance risk surveyor|1962-01-26|157425989593|adults_50up_male_urban.json
286-02-2501|4908964966681183|Christopher|Taylor|M|24687 Jacob Center|Sandy|UT|84070|40.5794|-111.8816|105585|Equities trader|1972-12-30|229642067564|adults_50up_male_urban.json
724-72-4422|630413867486|Tracey|Simpson|F|45596 Lowe Mission|Riverside|CA|92507|33.9761|-117.3389|419138|Oceanographer|1950-11-15|900447307275|adults_50up_female_urban.json
810-48-7543|180080055126761|Dean|Scott|M|63270 Jenkins Glens Suite 534|Columbia|MO|65203|38.9348|-92.3639|139474|Forensic scientist|1938-12-25|43712337161|adults_50up_male_urban.json
155-12-8358|6547152035191986|Hannah|Raymond|F|6513 Leslie Walk|Fresno|CA|93705|36.7863|-119.8286|570271|Sports development officer|1973-07-26|52911868991|adults_50up_female_urban.json
641-34-3073|4987663279042331|Kimberly|Smith|F|891 Williams Lakes|Raleigh|NC|27603|35.7076|-78.6563|489514|Dentist|1953-11-09|661970036381|adults_50up_female_urban.json
274-45-7523|4965990527025990|Jessica|Bernard|F|58304 Courtney Neck Suite 130|Houston|TX|77085|29.6218|-95.4819|2906700|Phytotherapist|1966-01-29|8919834111|adults_50up_female_urban.json
157-18-1782|6545371473204315|Lisa|Ramos|F|26665 Chase Extensions|Rochester|NY|14626|43.2126|-77.704|478127|Environmental consultant|1998-03-07|438951010541|adults_2550_female_urban.json
424-46-5567|213162475552676|Todd|Shannon|M|7027 Rodriguez Avenue|Delmar|MD|21875|38.4445|-75.5583|6467|Market researcher|1976-03-16|824218914705|adults_2550_male_urban.json
702-56-9009|30069057112186|Anna|Reyes|F|35393 Alvin Way|Macomb|MI|48044|42.6442|-82.8985|79580|Metallurgist|1956-07-23|580991579214|adults_50up_female_urban.json
597-90-5238|2357079432183027|Denise|Foster|F|8551 Douglas Bypass Suite 115|Florence|KY|41042|38.9941|-84.642|49968|Industrial/product designer|1944-03-10|556388845675|adults_50up_female_urban.json
324-13-0818|3534653363305751|Melissa|Lee|F|98416 Hall Mission|Ridgefield|WA|98642|45.7846|-122.6934|15696|Amenity horticulturist|1980-11-01|711417470249|adults_2550_female_urban.json
806-60-0176|3570125928339711|Jerry|Pittman|M|8176 Brooks Knoll Apt. 739|Montclair|CA|91763|34.0733|-117.6987|36375|Field trials officer|1962-09-28|837649733503|adults_50up_male_urban.json
059-88-5688|3591698331793646|Mason|Johnson|M|406 Padilla Unions Suite 525|South Ozone Park|NY|11420|40.6744|-73.819|44354|Teacher, English as a foreign language|1995-11-20|407338722251|adults_2550_male_urban.json
680-64-6262|349462078562271|Brian|Stanley|M|0261 Ann Passage|Hilo|HI|96720|19.7025|-155.0939|46165|Advertising account planner|1969-11-29|132025163693|adults_50up_male_urban.json
621-29-7144|676219490817|Martha|Williams|F|76280 Hickman Unions|Omaha|NE|68134|41.2949|-96.0546|518429|Scientist, research (physical sciences)|1940-09-02|513084662549|adults_50up_female_urban.json
872-64-0816|2259726821195694|Terry|Torres|M|7359 Myers Union|Eugene|OR|97404|44.1005|-123.1334|191096|Surveyor, quantity|1975-12-28|123204773406|adults_2550_male_urban.json
838-22-2447|581356397488|Richard|Bishop|M|07516 Burgess Valleys Suite 735|West Fork|AR|72774|35.9082|-94.2304|6121|Special educational needs teacher|1994-04-04|606108566504|adults_2550_male_urban.json
116-63-8137|4477935995843835692|Lauren|Harrison|F|52019 Bryan Light|Cincinnati|OH|45230|39.0713|-84.3758|795220|Forest/woodland manager|1996-05-02|701908405143|adults_2550_female_urban.json
153-49-8043|2711969933530315|Danielle|Peters|F|56828 Brooks Freeway|Westford|MA|01886|42.5864|-71.4401|21951|Landscape architect|1972-09-26|364398351212|adults_50up_female_urban.json
707-22-0873|4874781128269933|Dylan|Richardson|M|92229 Christopher Rue Suite 865|Franklin|NH|03235|43.4426|-71.6491|8562|Actuary|1969-07-15|269694808226|adults_50up_male_urban.json
284-88-7199|345577791743124|Maureen|Lewis|F|53811 Simpson Bypass Apt. 720|Las Vegas|NV|89138|36.1666|-115.3613|1417793|Water engineer|1994-06-22|563807546333|adults_2550_female_urban.json
807-25-6235|3575629433916868|Steve|Gibbs|M|855 Ricardo Trace|Fort Collins|CO|80525|40.5384|-105.0547|175625|Glass blower/designer|1965-11-18|851382043774|adults_50up_male_urban.json
659-35-4359|5210427974935496|Brittany|Mccall|F|81889 Carr Road|Charlotte|NC|28226|35.0869|-80.8167|790689|Clothing/textile technologist|1989-07-13|838187020789|adults_2550_female_urban.json
643-76-4021|375384811157036|Elizabeth|Wood|F|164 Patrick Hollow|Pacific Palisades|CA|90272|34.0787|-118.5422|22986|Lecturer, higher education|1970-08-11|356089688968|adults_50up_female_urban.json
167-01-2915|2245469223940717|Nicole|Sanchez|F|46609 Whitaker Green Suite 006|Grants Pass|OR|97526|42.4638|-123.3457|67918|Arts administrator|1963-03-28|871002644205|adults_50up_female_urban.json
585-68-1262|675995163523|Benjamin|Chen|M|202 Kelly Coves|Chapel Hill|NC|27517|35.9182|-79.0035|91595|Ranger/warden|1989-05-15|439538165118|adults_2550_male_urban.json
527-06-9952|374185413336659|Monica|Smith|F|156 Arnold Mill Apt. 578|Bradfordsville|KY|40009|37.4662|-85.1436|1051|Doctor, hospital|1979-09-19|66854686235|adults_2550_female_rural.json
182-95-4982|3521911429994819|Donna|Mitchell|F|85699 Beverly Haven|Rice Lake|WI|54868|45.5197|-91.8266|15512|Dispensing optician|1999-12-12|353957652333|adults_2550_female_urban.json
124-21-0501|2440209844698887|James|Cox|M|182 Lopez Union Apt. 367|Scranton|PA|18512|41.435|-75.6103|95251|Journalist, newspaper|1961-12-03|669797674801|adults_50up_male_urban.json
427-40-4475|3553218011308528|Claudia|Howard|F|42840 Dylan Stream|Ridgewood|NY|11385|40.7036|-73.8961|98592|Food technologist|2001-04-07|190673080341|young_adults_female_urban.json
489-11-3977|4253423867077604|Emily|Taylor|F|987 Erickson Mountains|Hamden|CT|06514|41.362|-72.9361|60966|Immigration officer|1941-01-14|771114479835|adults_50up_female_urban.json
886-64-7976|4075240033051099|Miguel|Snyder|M|7254 Ryan Highway|Birmingham|AL|35214|33.5554|-86.887|493806|Bookseller|1985-05-08|817920120063|adults_2550_male_urban.json
545-76-3398|3576398523818280|Kenneth|Velez|M|278 Black Neck|Council Bluffs|IA|51501|41.2324|-95.8751|71782|Archaeologist|1997-09-03|198746163709|adults_2550_male_urban.json
238-46-7482|4189959311699211|Matthew|Flores|M|705 Lisa Walk Apt. 775|Kennesaw|GA|30144|34.0287|-84.6047|92645|Accounting technician|1980-08-04|612991537625|adults_2550_male_urban.json
793-39-9279|4357686621380595193|Richard|Scott|M|542 Rachel Prairie Suite 513|Keller|TX|76244|32.931|-97.2843|95035|Energy engineer|1979-01-24|37400498062|adults_2550_male_urban.json
628-09-5752|4963511096745136361|Peter|Gross|M|0417 Tyler Divide|Goose Creek|SC|29445|33.058|-80.0101|53588|Counsellor|1998-12-07|284486856430|adults_2550_male_urban.json
887-90-7977|180003238128173|Arthur|Sparks|M|4752 Chad Estates|New Orleans|LA|70131|29.9168|-89.996|382333|Prison officer|1982-06-04|351110159769|adults_2550_male_urban.json
